file_path,filename,extension,size_bytes,content_hash,composer,work_title,bwv_number,movement_num,movement_name,catalog_number_raw,key_signature,time_signature,tempo_bpm,part_count,instrumentation,measure_count,note_count_estimate,format_detected,has_lyrics,is_choral,audit_status,audit_warnings,parse_error_msg
data/raw/bulk_xml/bach-chorales-371/kern/chor276.krn,chor276.krn,.krn,2387,63293f0a626b40f171fe40e4db340ddf93a8f169e75b116af5b2fd912fd8f1da,"Bach, Johann Sebastian","Lobt Gott, ihr Christen allzugleich, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,G major,4/4,100,4,Voice | Voice | Voice | Voice,11,188,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor266.krn,chor266.krn,.krn,2602,7031e5228b94d161286faf8cea00d01a98b001a028ffabfde621061d74db7465,"Bach, Johann Sebastian","Herr Jesu Christ, du h&ouml;chstes Gut, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,B- major,4/4,100,4,Voice | Voice | Voice | Voice,13,202,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor299.krn,chor299.krn,.krn,2955,9dc29ef754489c8e6c6ec3d51168853a28c903503335a10410fe18c31a56f40b,"Bach, Johann Sebastian","Meinen Jesum la&szlig; ich nicht, weil, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,E- major,4/4,100,4,Voice | Voice | Voice | Voice,13,259,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor272.krn,chor272.krn,.krn,3198,7b79a5da99c67e0494e5bfb358f5af0933e5bc4c264555605126f3c4e9e315fc,"Bach, Johann Sebastian","Ich dank' dir, lieber Herre, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,B- major,4/4,100,4,Voice | Voice | Voice | Voice,19,282,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor064.krn,chor064.krn,.krn,2784,692176628640e604e53d651852026c73abaa2b81032240726304d9362e51a96d,"Bach, Johann Sebastian","Freu dich sehr, o meine Seele, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,G major,4/4,100,4,Voice | Voice | Voice | Voice,13,227,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor104.krn,chor104.krn,.krn,2459,28d5bea0da182e30582b40ad5c3b7041708e4725905a9cad7a60ca24b4847df8,"Bach, Johann Sebastian","Wer nur den lieben Gott l&auml;&szlig;t walten, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,D major,4/4,100,4,Voice | Voice | Voice | Voice,11,165,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor070.krn,chor070.krn,.krn,3591,a61449b9a1389683de1ec279b3771941b3479ab037aa2a9660322fd48569333b,"Bach, Johann Sebastian","Gott sei gelobet und gebenedeiet, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,C major,4/4,100,4,Voice | Voice | Voice | Voice,22,355,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor138.krn,chor138.krn,.krn,2526,8b0316ed726c3967e7ae89a141c98aa7efe8c333c865575b87f0f8f686b3a9a1,"Bach, Johann Sebastian","Jesu, meine Freude, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,G major,4/4,100,4,Voice | Voice | Voice | Voice,13,188,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor058.krn,chor058.krn,.krn,3598,0db6fe7807a524a297e253a4aed7f0a199efa4cb2cc7a91ecffa06fef7013d91,"Bach, Johann Sebastian","Herzlich lieb hab ich dich, o Herr, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,D major,4/4,100,4,Voice | Voice | Voice | Voice,21,371,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor110.krn,chor110.krn,.krn,2557,734b721b137269a99d38bd95c60bc9318975887d07f208939dc848a859a16f11,"Bach, Johann Sebastian","Vater unser im Himmelreich, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,B- major,4/4,100,4,Voice | Voice | Voice | Voice,13,228,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor312.krn,chor312.krn,.krn,2860,c4efa9295e7f08fcfd6ef698a3b208a3a88ebc18402d91e06294af31db84ccc4,"Bach, Johann Sebastian","O Gott, du frommer Gott, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,D major,4/4,100,4,Voice | Voice | Voice | Voice,17,279,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor313.krn,chor313.krn,.krn,2769,8fc070727e062cbbf57dcd21ad7d4cae1facf094179b9a784e90fb6d55b7e656,"Bach, Johann Sebastian","Allein Gott in der H&ouml;h sei Ehr, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,G major,4/4,100,4,Voice | Voice | Voice | Voice,12,210,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor111.krn,chor111.krn,.krn,2589,4db5b7d631fd1f7315e7417a0f28461794746b6fd45f6878f5236c10e6107d94,"Bach, Johann Sebastian","Herzliebester Jesu, was hast du verbrochen, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,C major,4/4,100,4,Voice | Voice | Voice | Voice,12,218,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor105.krn,chor105.krn,.krn,2410,bdad2fe9463e6a819acbbb0446fdb7c9fca1f74acf8979b75c0b9ac2f43f627b,"Bach, Johann Sebastian","Herzliebester Jesu, was hast du verbrochen, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,D major,4/4,100,4,Voice | Voice | Voice | Voice,12,187,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor139.krn,chor139.krn,.krn,2471,5316c13b5b279ca84b8df68f98123c0fd0ff12847ac09ddb5cc9db0adc4263e9,"Bach, Johann Sebastian","Warum sollt ich mich denn gr&auml;men, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,G major,4/4,100,4,Voice | Voice | Voice | Voice,13,210,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor306.krn,chor306.krn,.krn,3729,51185b626b3df4c43dae9b6cb3e8a1b5676ced1e16b8185e89b3d8a3525b7d8d,"Bach, Johann Sebastian","O Mensch, bewein dein' S&uuml;nde gro&szlig;, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,E- major,4/4,100,4,Voice | Voice | Voice | Voice,20,359,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor307.krn,chor307.krn,.krn,3253,95fee5a39504edc57290eaa147b87d47d0b92af08b0139960ee86d2321291cfa,"Bach, Johann Sebastian","Christus, der uns selig macht, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,C major,4/4,100,4,Voice | Voice | Voice | Voice,17,322,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor065.krn,chor065.krn,.krn,2528,6069bfa9657b6a9d443769e15eeca56650880cf7f85c256521a13c97bda09f61,"Bach, Johann Sebastian","Was Gott tut, das ist wohlgetan, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,G major,4/4,100,4,Voice | Voice | Voice | Voice,12,193,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor059.krn,chor059.krn,.krn,2413,9cb0bf1d34c54d0bbcb79a9294074f54a2d1aff1e2e2c87b6d3176cd30c2f08b,"Bach, Johann Sebastian","Herzliebster Jesu, was hast du verbrochen, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,B- major,4/4,100,4,Voice | Voice | Voice | Voice,12,190,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor267.krn,chor267.krn,.krn,2600,902b337569683e61bfd8e148c088ac5c48fbfbc6ac953c1f87ae97afdf55246b,"Bach, Johann Sebastian","Vater unser im Himmelreich, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,F major,4/4,100,4,Voice | Voice | Voice | Voice,13,234,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor071.krn,chor071.krn,.krn,3033,98a625682f6afcd795946346a1a4025cacbaaf2a007c8be96743f334f303b981,"Bach, Johann Sebastian","Ich ruf zu dir, Herr Jesu Christ, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,G major,4/4,100,4,Voice | Voice | Voice | Voice,15,267,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor273.krn,chor273.krn,.krn,2865,f20bc108398b91b0b248b3a6d219547be1ab7ce26538b8931836791f5f926977,"Bach, Johann Sebastian","Ein feste Burg ist unser Gott, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,D major,4/4,100,4,Voice | Voice | Voice | Voice,14,247,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor298.krn,chor298.krn,.krn,2752,c3d785a4d91593859c6a846e306a14e05ec11de37ec67ec75478dad3f6034b24,"Bach, Johann Sebastian","Weg, mein Herz, mit den Gedanken, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,C major,3/4,100,4,Voice | Voice | Voice | Voice,27,210,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor271.krn,chor271.krn,.krn,2916,5145f827ecbcdba2c2a8cea028d4fbf9802972a8520ce9e020cb5309e9475379,"Bach, Johann Sebastian","Gib dich zufrieden und sei stille, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,G major,4/4,100,4,Voice | Voice | Voice | Voice,14,262,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor265.krn,chor265.krn,.krn,3003,d7ab3654c1ebe20ddb5b325ec32afa648c93324d6d9f18b2d451f6e981dc2d72,"Bach, Johann Sebastian","Was mein Gott will, das g'schen allzeit, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,D major,4/4,100,4,Voice | Voice | Voice | Voice,17,257,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor259.krn,chor259.krn,.krn,4235,98edeca3091beb9e54808649a8f59e37af53340be407b7af8f09e609e96a6e63,"Bach, Johann Sebastian","Verleih uns Frieden gn&auml;diglich, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,A major,4/4,100,4,Voice | Voice | Voice | Voice,28,473,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor067.krn,chor067.krn,.krn,2656,80f5368ca7af2e68a29c7aa5c2be1fa7f94dc446eef62f04ef9610a876314dc5,"Bach, Johann Sebastian","Freu dich sehr, o meine Seele, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,G major,4/4,100,4,Voice | Voice | Voice | Voice,13,218,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor073.krn,chor073.krn,.krn,2641,91c2fd253035db33c00ba3cfae9f8db9e6bea265311c4cfa79d1b889dab8f074,"Bach, Johann Sebastian","Herr Jesu Christ, ich schrei zu dir, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,B- major,4/4,100,4,Voice | Voice | Voice | Voice,13,209,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor098.krn,chor098.krn,.krn,2588,a2a376653ac5c516abc0be70a4dc9b92f601d1af64e0ba37ec19efb40233e9e3,"Bach, Johann Sebastian","O Haupt voll Blut und Wunden, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,D major,4/4,100,4,Voice | Voice | Voice | Voice,14,194,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor113.krn,chor113.krn,.krn,2820,84abac079dd0defac583e1ee1b62134a69aeb862e2ed46e6dfeffb4b24a90285,"Bach, Johann Sebastian","Christus, der uns selig macht, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,E- major,4/4,100,4,Voice | Voice | Voice | Voice,17,250,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor339.krn,chor339.krn,.krn,2582,a8487717252ead99f4871a6a76c6ea60a1b513d36f5f45d1911d133d68842c1a,"Bach, Johann Sebastian","Wer nur den lieben Gott la&szlig;t walten, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,C major,4/4,100,4,Voice | Voice | Voice | Voice,11,179,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor311.krn,chor311.krn,.krn,2652,5cab1d179efc6d6618459d55f08ac2f2fade12dac3d50b3df775cfd7ba8d2b8d,"Bach, Johann Sebastian","Dank sei Gott in der H&ouml;he, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,F major,4/4,100,4,Voice | Voice | Voice | Voice,14,202,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor338.krn,chor338.krn,.krn,2300,785803e873c2a44d6490603d8442145c1b7e8f0cc64be6b3de3794e57e3009a7,"Bach, Johann Sebastian","Jesus, meine Zuversicht, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,D major,4/4,100,4,Voice | Voice | Voice | Voice,8,139,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor107.krn,chor107.krn,.krn,3645,8fe288a02519dd22f86ccc183c8c0ccb4a6660e39be66f9d4ac4c23a97641cd0,"Bach, Johann Sebastian","Herzlich lieb hab ich dich, o Herr, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,E- major,4/4,100,4,Voice | Voice | Voice | Voice,23,372,Score,False,False,WARNING,no_bwv,
